# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 128, Beta = 1.00
# t ener_rand mag_rand ener_ferr mag_ferr
0 -7.231445312500e-01 +2.526855468750e-02 -1.999023437500e+00 +9.997558593750e-01
1 -1.253417968750e+00 +4.724121093750e-02 -1.996582031250e+00 +9.991455078125e-01
2 -1.249267578125e+00 +4.467773437500e-02 -1.996582031250e+00 +9.991455078125e-01
3 -1.249267578125e+00 +4.821777343750e-02 -1.998046875000e+00 +9.995117187500e-01
4 -1.371582031250e+00 +4.760742187500e-02 -1.999023437500e+00 +9.997558593750e-01
5 -1.374267578125e+00 +4.650878906250e-02 -1.998046875000e+00 +9.995117187500e-01
6 -1.467529296875e+00 +6.384277343750e-02 -1.994873046875e+00 +9.986572265625e-01
7 -1.595458984375e+00 +7.824707031250e-02 -1.996337890625e+00 +9.990234375000e-01
8 -1.594726562500e+00 +7.312011718750e-02 -1.997558593750e+00 +9.993896484375e-01
9 -1.629882812500e+00 +8.691406250000e-02 -1.995605468750e+00 +9.989013671875e-01
10 -1.661621093750e+00 +8.862304687500e-02 -1.996582031250e+00 +9.991455078125e-01
11 -1.661132812500e+00 +8.862304687500e-02 -1.997070312500e+00 +9.992675781250e-01
12 -1.661376953125e+00 +8.728027343750e-02 -1.997070312500e+00 +9.992675781250e-01
13 -1.695556640625e+00 +9.045410156250e-02 -1.997070312500e+00 +9.992675781250e-01
14 -1.696289062500e+00 +8.947753906250e-02 -1.995849609375e+00 +9.989013671875e-01
15 -1.701660156250e+00 +8.959960937500e-02 -1.999023437500e+00 +9.997558593750e-01
16 -1.699218750000e+00 +8.837890625000e-02 -1.994873046875e+00 +9.986572265625e-01
17 -1.706054687500e+00 +8.581542968750e-02 -1.996582031250e+00 +9.991455078125e-01
18 -1.739746093750e+00 +8.666992187500e-02 -1.997070312500e+00 +9.992675781250e-01
19 -1.735839843750e+00 +8.715820312500e-02 -1.996093750000e+00 +9.990234375000e-01
20 -1.735351562500e+00 +8.129882812500e-02 -1.998535156250e+00 +9.996337890625e-01
21 -1.736083984375e+00 +8.508300781250e-02 -1.996093750000e+00 +9.990234375000e-01
