# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 32
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
0.2 -4.276914e-01 +4.238945e-02 +9.946592e-02 +2.139130e-01 -6.211867e-03
0.21250000000000002 -4.592812e-01 +4.412734e-02 +1.150715e-01 +2.535680e-01 -2.239218e-02
0.225 -4.902492e-01 +4.696406e-02 +1.276164e-01 +2.825785e-01 +2.758415e-02
0.23750000000000002 -5.213133e-01 +4.905078e-02 +1.459160e-01 +3.179247e-01 -2.791538e-03
0.25 -5.561359e-01 +5.078242e-02 +1.716677e-01 +3.813412e-01 -2.289013e-02
0.2625 -5.923117e-01 +5.397305e-02 +1.987780e-01 +4.625180e-01 -1.602779e-02
0.275 -6.269930e-01 +5.922227e-02 +2.160203e-01 +5.773997e-01 -9.956124e-03
0.28750000000000003 -6.637859e-01 +6.526289e-02 +2.465494e-01 +6.824674e-01 +6.530672e-02
0.30000000000000004 -7.044344e-01 +6.442266e-02 +2.803022e-01 +6.768147e-01 +9.790420e-02
0.3125 -7.472008e-01 +7.491953e-02 +3.225761e-01 +1.046615e+00 -1.964866e-03
0.325 -7.860078e-01 +7.400000e-02 +3.705056e-01 +1.019610e+00 +3.485350e-02
0.3375 -8.355266e-01 +9.041289e-02 +4.416803e-01 +1.506291e+00 +4.185443e-02
0.35000000000000003 -8.799922e-01 +1.032586e-01 +4.503757e-01 +2.064974e+00 +9.687994e-02
0.36250000000000004 -9.322891e-01 +1.170602e-01 +5.495542e-01 +2.879245e+00 +6.399062e-02
0.375 -9.811945e-01 +1.317906e-01 +6.237810e-01 +3.531196e+00 +1.042922e-01
0.3875 -1.041674e+00 +1.510863e-01 +7.336089e-01 +4.408117e+00 +1.622684e-01
0.4 -1.102304e+00 +1.903875e-01 +8.022134e-01 +6.574847e+00 +2.337164e-01
0.41250000000000003 -1.186859e+00 +2.909285e-01 +1.102505e+00 +1.228781e+01 +3.453615e-01
0.42500000000000004 -1.276338e+00 +4.246461e-01 +1.551994e+00 +1.870388e+01 +4.741967e-01
0.4375 -1.407273e+00 +6.185312e-01 +1.928555e+00 +1.672275e+01 +5.969076e-01
0.45 -1.503523e+00 +7.444387e-01 +1.443150e+00 +5.560809e+00 +6.461426e-01
0.4625 -1.598522e+00 +8.322262e-01 +1.110467e+00 +1.236801e+00 +6.619210e-01
0.47500000000000003 -1.665987e+00 +8.750488e-01 +9.348220e-01 +6.517905e-01 +6.644239e-01
0.48750000000000004 -1.705437e+00 +8.934238e-01 +8.098433e-01 +4.704213e-01 +6.651303e-01
0.5 -1.746023e+00 +9.115781e-01 +7.406550e-01 +3.938797e-01 +6.654724e-01
0.5125 -1.777702e+00 +9.254895e-01 +6.064198e-01 +2.513730e-01 +6.659356e-01
0.525 -1.805434e+00 +9.365520e-01 +5.785190e-01 +2.097125e-01 +6.660836e-01
0.5375000000000001 -1.831951e+00 +9.472539e-01 +4.929525e-01 +1.418840e-01 +6.662885e-01
0.55 -1.849979e+00 +9.537684e-01 +4.679498e-01 +1.239186e-01 +6.663482e-01
0.5625 -1.869332e+00 +9.605398e-01 +4.124553e-01 +9.573958e-02 +6.664286e-01
0.575 -1.884187e+00 +9.653977e-01 +3.858458e-01 +8.386009e-02 +6.664644e-01
0.5875 -1.897045e+00 +9.699332e-01 +3.550244e-01 +6.919283e-02 +6.665049e-01
0.6000000000000001 -1.908782e+00 +9.735602e-01 +3.290852e-01 +6.167113e-02 +6.665265e-01
0.6125 -1.919609e+00 +9.770020e-01 +2.826472e-01 +4.793764e-02 +6.665605e-01
0.625 -1.928216e+00 +9.796332e-01 +2.640822e-01 +4.334860e-02 +6.665732e-01
0.6375 -1.935943e+00 +9.819594e-01 +2.377763e-01 +3.695190e-02 +6.665888e-01
0.65 -1.943859e+00 +9.843488e-01 +2.198536e-01 +3.226036e-02 +6.666003e-01
0.6625000000000001 -1.949239e+00 +9.858715e-01 +2.168442e-01 +3.138785e-02 +6.666035e-01
0.675 -1.953929e+00 +9.872785e-01 +1.926656e-01 +2.638992e-02 +6.666147e-01
0.6875 -1.960031e+00 +9.890625e-01 +1.776757e-01 +2.220195e-02 +6.666239e-01
0.7 -1.964309e+00 +9.903191e-01 +1.600745e-01 +1.938430e-02 +6.666301e-01
0.7125000000000001 -1.967727e+00 +9.912676e-01 +1.501842e-01 +1.783131e-02 +6.666336e-01
0.7250000000000001 -1.970891e+00 +9.921961e-01 +1.311572e-01 +1.453280e-02 +6.666402e-01
0.7375 -1.973790e+00 +9.929746e-01 +1.203459e-01 +1.335737e-02 +6.666428e-01
0.75 -1.976773e+00 +9.938375e-01 +1.112705e-01 +1.162123e-02 +6.666463e-01
0.7625 -1.978938e+00 +9.944160e-01 +1.092239e-01 +1.107388e-02 +6.666476e-01
0.7750000000000001 -1.981058e+00 +9.950031e-01 +9.537230e-02 +9.370808e-03 +6.666508e-01
0.7875000000000001 -1.983237e+00 +9.956027e-01 +8.837617e-02 +8.318578e-03 +6.666528e-01
0.8 -1.984919e+00 +9.960547e-01 +8.165023e-02 +7.513750e-03 +6.666544e-01
0.8125 -1.986302e+00 +9.964020e-01 +7.575658e-02 +7.039865e-03 +6.666553e-01
0.825 -1.987540e+00 +9.967391e-01 +7.280748e-02 +6.526639e-03 +6.666563e-01
0.8375000000000001 -1.988948e+00 +9.971305e-01 +6.647463e-02 +5.680119e-03 +6.666578e-01
0.8500000000000001 -1.989896e+00 +9.973781e-01 +6.126010e-02 +5.172921e-03 +6.666587e-01
